timestamp,model_name,model_layers,augmentation,train_batch,train_inputs,epochs,accuracy,precision,recall,f1_score,conf_matrix,model_notes
2025-06-04T03:04:11,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,240,6,0.9,0.9248,0.773,0.7813,"[[18, 1, 0, 0], [1, 17, 0, 0], [2, 1, 1, 1], [0, 0, 0, 18]]",
2025-06-04T03:21:12,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,240,20,0.8333,0.6275,0.6813,0.6517,"[[18, 1, 0, 0], [1, 15, 0, 2], [2, 1, 0, 2], [1, 0, 0, 17]]",
2025-06-05T14:48:42,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,6,0.8333,0.7741,0.7174,0.7225,"[[18, 1, 0, 0], [1, 17, 0, 0], [2, 2, 1, 0], [0, 3, 1, 14]]",
2025-06-05T14:50:11,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,6,0.8833,0.8262,0.8306,0.8239,"[[19, 0, 0, 0], [1, 15, 1, 1], [2, 0, 3, 0], [0, 0, 2, 16]]",
2025-06-05T20:09:06,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,6,0.8,0.6235,0.6535,0.6305,"[[18, 1, 0, 0], [1, 17, 0, 0], [1, 3, 0, 1], [1, 3, 1, 13]]",
2025-06-05T20:10:14,SimpleCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,10,0.85,0.768,0.7667,0.7638,"[[19, 0, 0, 0], [1, 15, 2, 0], [2, 0, 2, 1], [0, 1, 2, 15]]",
2025-06-05T20:12:33,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; pool:MaxPool2d(0) ; fc1:Linear(13107328) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,10,0.8833,0.9089,0.7944,0.8188,"[[19, 0, 0, 0], [1, 16, 0, 1], [1, 1, 2, 1], [0, 2, 0, 16]]",
2025-06-05T20:14:18,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; pool:MaxPool2d(0) ; fc1:Linear(13107328) ; fc2:Linear(516) ; relu:ReLU(0),test,16,245,15,0.8167,0.8859,0.7028,0.7127,"[[19, 0, 0, 0], [1, 17, 0, 0], [1, 3, 1, 0], [1, 5, 0, 12]]",
2025-06-05T20:22:56,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; pool:MaxPool2d(0) ; fc1:Linear(26214656) ; fc2:Linear(1028) ; relu:ReLU(0),test,16,245,9,0.75,0.7166,0.6501,0.6555,"[[15, 2, 1, 1], [1, 17, 0, 0], [2, 2, 1, 0], [1, 5, 0, 12]]",
2025-06-05T20:58:25,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,9,0.7333,0.7356,0.6746,0.6857,"[[12, 1, 0, 6], [1, 13, 1, 3], [1, 2, 2, 0], [0, 1, 0, 17]]",
2025-06-05T21:00:34,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,20,0.85,0.8873,0.7306,0.7402,"[[19, 0, 0, 0], [1, 16, 0, 1], [0, 3, 1, 1], [1, 2, 0, 15]]",
2025-06-05T21:04:21,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,31,0.8667,0.808,0.8181,0.8104,"[[17, 0, 2, 0], [0, 15, 1, 2], [0, 1, 3, 1], [1, 0, 0, 17]]",
2025-06-05T21:09:32,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,50,0.85,0.8136,0.7674,0.7801,"[[18, 1, 0, 0], [2, 14, 1, 1], [2, 0, 2, 1], [0, 1, 0, 17]]",
2025-06-05T21:22:15,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,50,0.8167,0.7562,0.7411,0.7397,"[[16, 0, 2, 1], [1, 13, 1, 3], [2, 0, 2, 1], [0, 0, 0, 18]]",
2025-06-05T21:32:21,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,15,0.8833,0.8417,0.7952,0.8092,"[[18, 1, 0, 0], [1, 16, 1, 0], [1, 2, 2, 0], [0, 1, 0, 17]]",
2025-06-05T21:34:23,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,245,20,0.8167,0.7562,0.7396,0.7402,"[[18, 0, 1, 0], [1, 13, 2, 2], [2, 0, 2, 1], [2, 0, 0, 16]]",
2025-06-06T13:11:07,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,267,20,0.8833,0.825,0.8313,0.8227,"[[18, 0, 1, 0], [1, 14, 2, 1], [1, 0, 3, 1], [0, 0, 0, 18]]",
2025-06-06T13:14:51,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,267,7,0.85,0.8193,0.8042,0.8029,"[[17, 0, 1, 1], [1, 13, 1, 3], [1, 0, 3, 1], [0, 0, 0, 18]]",
2025-06-06T13:17:12,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,267,15,0.85,0.7917,0.8028,0.7831,"[[19, 0, 0, 0], [1, 16, 1, 0], [1, 0, 3, 1], [0, 0, 5, 13]]",
2025-06-06T13:21:35,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,267,15,0.85,0.7354,0.7306,0.7291,"[[19, 0, 0, 0], [1, 14, 2, 1], [2, 1, 1, 1], [0, 0, 1, 17]]",
2025-06-07T15:13:36,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,15,0.85,0.7325,0.7313,0.7316,"[[18, 0, 1, 0], [1, 16, 1, 0], [1, 2, 1, 1], [0, 0, 2, 16]]",
2025-06-07T15:15:10,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,8,0.8333,0.6583,0.6806,0.6673,"[[19, 0, 0, 0], [1, 14, 2, 1], [2, 2, 0, 1], [0, 0, 1, 17]]",
2025-06-07T17:06:27,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,256,8,0.8667,0.7443,0.7444,0.7432,"[[19, 0, 0, 0], [0, 15, 2, 1], [1, 2, 1, 1], [0, 0, 1, 17]]",
2025-06-07T17:13:01,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,8,0.8167,0.7921,0.7404,0.7505,"[[17, 1, 1, 0], [1, 12, 0, 5], [1, 1, 2, 1], [0, 0, 0, 18]]",
2025-06-07T17:32:59,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,267,15,0.8833,0.7968,0.7583,0.7601,"[[19, 0, 0, 0], [1, 15, 1, 1], [1, 2, 1, 1], [0, 0, 0, 18]]",
2025-06-07T17:38:32,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,267,15,0.8333,0.7279,0.7181,0.7182,"[[17, 1, 0, 1], [1, 15, 1, 1], [1, 2, 1, 1], [0, 0, 1, 17]]",
2025-06-07T17:40:49,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,267,7,0.75,0.5996,0.6126,0.6024,"[[17, 1, 1, 0], [1, 15, 0, 2], [2, 3, 0, 0], [0, 3, 2, 13]]",
2025-06-07T18:24:09,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,267,15,0.7,0.699,0.6424,0.6196,"[[18, 1, 0, 0], [1, 16, 1, 0], [2, 1, 2, 0], [8, 1, 3, 6]]",
2025-06-07T19:20:17,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,266,15,0.8,0.745,0.7618,0.7427,"[[18, 1, 0, 0], [1, 9, 3, 5], [0, 2, 3, 0], [0, 0, 0, 18]]",
2025-06-07T19:33:52,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,266,50,0.8167,0.7527,0.7404,0.7341,"[[17, 0, 1, 1], [1, 12, 3, 2], [1, 0, 2, 2], [0, 0, 0, 18]]",
2025-06-08T01:37:04,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.8167,0.7393,0.7389,0.7279,"[[19, 0, 0, 0], [1, 11, 4, 2], [1, 1, 2, 1], [0, 0, 1, 17]]",
2025-06-08T01:44:48,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.85,0.7929,0.8028,0.784,"[[19, 0, 0, 0], [1, 14, 3, 0], [1, 1, 3, 0], [0, 0, 3, 15]]",
2025-06-08T01:56:32,FruitCNN,conv1:Conv2d(160) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.6833,0.6486,0.6314,0.6234,"[[14, 0, 2, 3], [1, 11, 4, 2], [2, 0, 2, 1], [1, 1, 2, 14]]",
2025-06-08T02:01:52,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.7833,0.6876,0.675,0.6705,"[[19, 0, 0, 0], [1, 11, 4, 2], [2, 1, 1, 1], [2, 0, 0, 16]]",
2025-06-08T02:07:23,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.9,0.8226,0.8083,0.8133,"[[19, 0, 0, 0], [1, 16, 1, 0], [1, 1, 2, 1], [0, 0, 1, 17]]",
2025-06-08T02:22:02,FruitCNN,conv1:Conv2d(448) ; conv2:Conv2d(4640) ; pool:MaxPool2d(0) ; fc1:Linear(6553728) ; fc2:Linear(516) ; relu:ReLU(0),test,16,256,50,0.8667,0.6615,0.7091,0.6841,"[[18, 0, 0, 1], [1, 16, 1, 0], [2, 2, 0, 1], [0, 0, 0, 18]]",
2025-06-08T02:25:27,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,256,50,0.85,0.7436,0.7313,0.7324,"[[18, 1, 0, 0], [1, 16, 1, 0], [1, 2, 1, 1], [0, 1, 1, 16]]",
2025-06-08T02:29:54,SimpleCNN,conv1:Conv2d(896) ; conv2:Conv2d(18496) ; conv3:Conv2d(73856) ; pool:MaxPool2d(0) ; fc1:Linear(26214912) ; fc2:Linear(2052) ; relu:ReLU(0),test,16,256,50,0.9,0.8344,0.8452,0.8377,"[[18, 0, 1, 0], [1, 15, 2, 0], [1, 1, 3, 0], [0, 0, 0, 18]]",
